Altium Designer Pick and Place Locations
C:\Users\MASTER\Documents\GitHub\Industrial-Radio\Industrial Radio\Project Outputs for Industrial Radio\Pick Place for PCB.txt

========================================================================================================================
File Design Information:

Date:       22/05/25
Time:       12:31
Revision:   411ce9723290c5d7c8f489e301a40818f6bfd36c
Variant:    No variations
Units used: mil

Designator                Comment               Layer       Footprint                      Center-X(mil) Center-Y(mil) Rotation Description                                                                                                            
L2                        SRR1260-270M          TopLayer    FP-SRR1260-MFG                 3162.457      283.222       180      "FIXED IND 27UH 3.6A 45 MOHM SMD"                                                                                      
J3                        U.FL-R-SMT-1(10)      TopLayer    FP-U_FL-R-SMT-1_10-MFG         3561.950      109.589       90       "CONN U.FL RCPT STR 50 OHM SMD"                                                                                        
GPS                       NEO-6M-GPS            TopLayer    XCVR_NEO-6M-GPS                2558.254      320.078       0        "GPS Development Tools SparkFun GNSS-RTK Dead Reckoning Breakout - ZED-F9K (Qwiic)"                                    
U6                        DM-OLED096-636        TopLayer    MODULE_DM-OLED096-636          3406.834      1074.425      0        "0.96‚Äù 128 X 64 MONOCHROME GRAPHIC OLED DISPLAY MODULE - I2C"                                                        
U5                        RFM95W-868S2          TopLayer    XCVR_RFM95W-868S2              2521.809      1264.091      0        "General ISM < 1GHz LoRa‚Ñ¢ Transceiver Module 868MHz Antenna Not Included Surface Mount"                              
U4                        TLV2372IDR            TopLayer    D0008A_M                       802.941       423.875       0        "550 uA/Ch, 3 MHz, RRIO Operational Amplifier, 2.7 to 16 V, -40 to 125 degC, 8-pin SOIC (D8), Green (RoHS & no Sb/Br)" 
U3                        TP4056                TopLayer    SOP127P600X175-9N              481.020       973.419       0        "Complete single cell Li-Ion battery with a constant current / constant voltage linear charger"                        
U1                        TPS630702RNMR         TopLayer    FP-RNM0015A-MFG                1059.476      655.016       0        "POWER MANAGEMENT"                                                                                                     
"Solar Connector"         B2B-PH-SM4-TB(LF)(SN) TopLayer    B2B-PH-SM4-TB(LF)(SN)          168.067       1366.467      90       "Connector Header Surface Mount 2 position 0.079 (2.00mm)"                                                             
"Rogowski Coil Connector" B2B-PH-SM4-TB(LF)(SN) TopLayer    B2B-PH-SM4-TB(LF)(SN)          171.943       257.973       270      "Connector Header Surface Mount 2 position 0.079 (2.00mm)"                                                             
R15                       "100 kOhms"           TopLayer    RES_0603_1608                  753.167       597.226       90       "RES 100K OHM 0.1% 1/16W 0603"                                                                                         
R14                       "150 kOhms"           TopLayer    RES_0603_1608                  587.767       629.893       90       "RES 150K OHM 1% 1/4W 0603"                                                                                            
R13                       "4.7 kOhms"           TopLayer    RES_0603_1608                  2736.638      693.458       0        "RES SMD 4.7K OHM 0.1% 1/10W 0603"                                                                                     
R12                       "4.7 kOhms"           TopLayer    RES_0603_1608                  2736.462      765.234       0        "RES SMD 4.7K OHM 0.1% 1/10W 0603"                                                                                     
R11                       "10 kOhms"            TopLayer    RES_0603_1608                  646.509       126.671       90       "RES SMD 10K OHM 5% 1/10W 0603"                                                                                        
R10                       "10 kOhms"            TopLayer    RES_0603_1608                  476.303       135.480       90       "RES SMD 10K OHM 5% 1/10W 0603"                                                                                        
R9                        "1 kOhms"             TopLayer    RES_0603_1608                  410.376       713.945       90       "RES SMD 1K OHM 0.1% 1/16W 0603"                                                                                       
R8                        "100 kOhms"           TopLayer    RES_0603_1608                  475.794       314.342       270      "RES 100K OHM 0.1% 1/16W 0603"                                                                                         
R7                        "1 kOhms"             TopLayer    RES_0603_1608                  405.769       517.963       180      "RES SMD 1K OHM 0.1% 1/16W 0603"                                                                                       
R6                        "3.32 kOhms"          TopLayer    RES_0603_1608                  255.085       1046.876      270      "RES SMD 3.32K OHM 0.1% 1/5W 0603"                                                                                     
R5                        "10 kOhms"            TopLayer    RES_0603_1608                  2429.096      696.767       0        "RES SMD 10K OHM 5% 1/10W 0603"                                                                                        
R4                        "470 kOhms"           TopLayer    YAGEO_RES_0603_1608            687.332       740.253       90       "RES SMD 470K OHM 5% 1/10W 0603"                                                                                       
R3                        =Value                TopLayer    YAGEO_RES_0603_1608            485.357       1340.160      90       "RES 0.4 OHM 1% 1/10W 0603"                                                                                            
R2                        "10 kOhms"            TopLayer    RES_0603_1608                  1058.365      1004.751      90       "RES 10K OHM 0.1% 1/16W 0603"                                                                                          
R1                        "10 kOhms"            TopLayer    RES_0603_1608                  1231.330      826.010       270      "RES SMD 10K OHM 5% 1/10W 0603"                                                                                        
MD1                       ESP32-WROOM-32        TopLayer    FP-ESP32-WROOM-32-MFG          1767.397      665.902       180      "RX TXRX MOD WIFI SURFACE MOUNT"                                                                                       
L1                        XFL4020-152MEC        TopLayer    FP-XFL4020-MFG                 1285.279      658.446       270      "Inductor Power Shielded Wirewound 1.5uH 20% 100KHz 9.1A 15.8mOhm DCR 1515 Automotive Embossed Plastic T/R"            
J2                        U.FL-R-SMT-1(10)      TopLayer    FP-U_FL-R-SMT-1_10-MFG         1982.195      1477.538      90       "CONN U.FL RCPT STR 50 OHM SMD"                                                                                        
J1                        "FTDI Connector"      BottomLayer SAMTEC_MTSW-106-09-G-S-375-RA  1458.250      1540.929      180      "Connector Header Through Hole, Right Angle 6 position 0.100 (2.54mm)"                                                 
D3                        Red                   TopLayer    LED_1206_3216_RED              185.090       713.051       0        "LED RED SMD"                                                                                                          
D2                        Green                 TopLayer    LED_1206_3216_GREEN            181.466       508.249       0        "LED GREEN SMD"                                                                                                        
C12                       TMK105B7104MV-FR      TopLayer    FP-0402-L_1_0_0_05-W_0_5-IPC_B 892.801       594.364       0        None                                                                                                                   
C11                       TMK107BBJ106MA-T      TopLayer    FP-0603-L_1_6_0_2-W_0_8_0-MFG  1179.071      1001.816      270      "Multilayer Ceramic Capacitor 10uF 25V X5R 20% SMD 0603 T/R"                                                           
C10                       GRM21BC71E106ME11L    TopLayer    FP-GRM21B-0_2-e0_2_0_7-IPC_A   947.554       991.177       270      "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X7S, 22%, 20%, 25V"                               
C9                        GRM21BC71E106ME11L    TopLayer    FP-GRM21B-0_2-e0_2_0_7-IPC_A   816.898       989.062       270      "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 10uF, X7S, 22%, 20%, 25V"                               
C8                        GRM21BC81C226ME44L    TopLayer    FP-GRM21B-0_2-e0_2_0_7-MFG     1084.294      131.012       180      "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X6S, 22%, 20%, 16V"                               
C7                        GRM21BC81C226ME44L    TopLayer    FP-GRM21B-0_2-e0_2_0_7-MFG     1078.068      243.450       180      "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X6S, 22%, 20%, 16V"                               
C6                        "1 µF"                TopLayer    CAP_0603_1608                  590.454       415.416       90       "CAP CER 1UF 6.3V X7R 0603"                                                                                            
C5                        0.1µF                 TopLayer    CAP_0603_1608                  2299.337      709.331       180      "CAP CER 0.1UF 25V X7R 0603"                                                                                           
C4                        "10 µF"               TopLayer    MURATA_GRM188_0603_1608        84.799        983.526       270      "CAP CER 10UF 2.5V X6S 0603"                                                                                           
C3                        GRM21BC81C226ME44L    TopLayer    FP-GRM21B-0_2-e0_2_0_7-MFG     1076.167      348.957       180      "Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X6S, 22%, 20%, 16V"                               
C2                        TMK107BBJ106MA-T      TopLayer    FP-0603-L_1_6_0_2-W_0_8_0-MFG  1072.672      453.752       0        "Multilayer Ceramic Capacitor 10uF 25V X5R 20% SMD 0603 T/R"                                                           
C1                        0.1µF                 TopLayer    CAP_0603_1608                  1319.717      1089.445      0        "CAP CER 0.1UF 25V X7R 0603"                                                                                           
Battery                   B2B-PH-SM4-TB(LF)(SN) TopLayer    B2B-PH-SM4-TB(LF)(SN)          838.045       1442.015      0        "Connector Header Surface Mount 2 position 0.079 (2.00mm)"                                                             
